S_no,ROI_Name,ROI_path
1,alisagar,projects/isro-407105/assets/alisagar
2,himayatsagar,projects/isro-407105/assets/himayatsagar
3,hussansagar,projects/isro-407105/assets/hussansagar
4,kadam,projects/isro-407105/assets/kadam
5,karukonda,projects/isro-407105/assets/karukonda
6,manjeera,projects/isro-407105/assets/manjeera
7,musi,projects/isro-407105/assets/musi
8,osmansagar,projects/isro-407105/assets/osmansagar
9,pakhal,projects/isro-407105/assets/pakhal
10,paler,projects/isro-407105/assets/paler
11,panagal,projects/isro-407105/assets/panagal
12,pocharam,projects/isro-407105/assets/pocharam
13,ramanpahad,projects/isro-407105/assets/ramanpahad
14,sathnala,projects/isro-407105/assets/sathnala
15,shanigaram,projects/isro-407105/assets/shanigaram
16,sriramsagar,projects/isro-407105/assets/sriramsagar
17,swarna,projects/isro-407105/assets/swarna
18,thapaspally,projects/isro-407105/assets/thapaspally
19,vattivagu,projects/isro-407105/assets/vattivagu
20,bhimghanpur,projects/isro-407105/assets/bhimghanpur
21,dindi,projects/isro-407105/assets/dindi
22,jonalabogudu,projects/isro-407105/assets/jonalabogudu
23,kinnersani,projects/isro-407105/assets/kinnersani
24,mylaram,projects/isro-407105/assets/mylaram
25,nagarjunasagardam,projects/isro-407105/assets/nagarjunasagardam
26,nizamsagar,projects/isro-407105/assets/nizamsagar
27,shankarasamudaram,projects/isro-407105/assets/shankarasamudaram
28,singotam,projects/isro-407105/assets/singotam
29,thotapally,projects/isro-407105/assets/thotapally
30,wyra,projects/isro-407105/assets/wyra
